filename,title,category,source_url,description,v2_verified,library_count,libraries,code_hash,file_size,line_count
01_Uia.ahk,Uia,GUI,,Example from Descolada/UIA-v2: UIA.ahk,True,0,,1c5f6536ee73d2c5,424373,7954
02_Imageput.ahk,Imageput,GUI,,Script:    ImagePut.ahk License:   MIT License Author:    Edison Hua (iseahound) Github:    https://github.com/iseahound/ImagePut Date:      2025-03-15 Version:   1.11 Scroll down for a list of all ou,True,0,,0f0a667d8d5ebab8,267281,5725
04_Ocr.ahk,Ocr,GUI,,Example from Descolada/OCR: OCR.ahk,True,0,,cc0bb85c14e94dc0,100740,1825
08_Httpserver.ahk,Httpserver,GUI,,#Include <compress>	; Used to support gzip/zstd compression and decompression #Include <JSON>	; https://github.com/thqby/ahk2_lib/blob/master/JSON.ahk @region http structs @lint-disable class-non-dyna,True,2,"OVERLAPPED, ctypes",dad2cace4cb6e8a1,24158,599
15_MsgBox___Basic_Usage.ahk,MsgBox - Basic Usage,GUI,,"Basic MsgBox function examples showing different parameter combinations including simple messages, titles, button types, and icons.",True,0,,a644326aea5f5b7c,695,23
16_Array___Creation_and_Manipulation.ahk,Array - Creation and Manipulation,Array,,"Comprehensive examples of array creation, manipulation, iteration, and common operations in AutoHotkey v2.",True,0,,866daa6b96cd6f20,886,36
17_FileRead_and_FileAppend___File_Operation.ahk,FileRead and FileAppend - File Operations,File,,"File reading and writing operations including error handling, encodings, and line-by-line processing.",True,0,,50035237e8de7cde,988,38
18_Gui.Create___Simple_GUI_Application.ahk,Gui.Create - Simple GUI Application,GUI,,"Creating a simple GUI window with text, edit box, and buttons including event handling.",True,0,,9610d710456f26ee,728,27
19_Hotkeys___Keyboard_Shortcuts.ahk,Hotkeys - Keyboard Shortcuts,Hotkey,,Various hotkey and hotstring examples including context-sensitive hotkeys and dynamic hotkey creation.,True,0,,268efab37f2606ea,906,38
"20_String_Operations___StrReplace,_SubStr,_.ahk","String Operations - StrReplace, SubStr, RegEx",String,,"Comprehensive string manipulation examples including replacement, substring extraction, searching, and regular expressions.",True,0,,c6ea94b3de0f026c,1236,42
22_Map___Key_Value_Data_Structure.ahk,Map - Key-Value Data Structure,Array,,"Map (dictionary/hash table) creation and manipulation including iteration, checking keys, and nested structures.",True,0,,bfe4b80ac43571d6,1027,51
Advanced_Class_EventEmitter.ahk,Advanced Class EventEmitter,Uncategorized,,,True,0,,ce9169a5cda18936,1248,50
Advanced_Class_Factory.ahk,Advanced Class Factory,Uncategorized,,,True,0,,fc12a8284dff85a6,1202,58
Advanced_Class_LinkedList.ahk,Advanced Class LinkedList,Uncategorized,,,True,0,,fa47d09ee3a76678,1526,82
Advanced_Class_Observer.ahk,Advanced Class Observer,Uncategorized,,,True,0,,74884ec38ccc5eae,917,49
Advanced_Class_Singleton.ahk,Advanced Class Singleton,Uncategorized,,,True,0,,da6019541dc30df1,966,39
Advanced_DataStructure_NestedMaps.ahk,Advanced DataStructure NestedMaps,Uncategorized,,,True,0,,f3a81d764e288dd7,6008,228
Advanced_DataStructure_Queue.ahk,Advanced DataStructure Queue,Uncategorized,,,True,0,,ec394ff18b9f64c6,6730,277
Advanced_DataStructure_Stack.ahk,Advanced DataStructure Stack,Uncategorized,,,True,0,,7b8553d331213bc2,6924,287
Advanced_File_BackupManager.ahk,Advanced File BackupManager,Uncategorized,,,True,0,,395bb007be5e00e5,2244,76
Advanced_File_BatchRename.ahk,Advanced File BatchRename,Uncategorized,,,True,0,,e92d4712e559ecfa,3833,141
Advanced_File_CSVProcessor.ahk,Advanced File CSVProcessor,Uncategorized,,,True,0,,7e0531e3a0b68395,3933,169
Advanced_File_DuplicateFinder.ahk,Advanced File DuplicateFinder,Uncategorized,,,True,0,,37f7a46f7cf5c32d,1566,56
Advanced_File_LogParser.ahk,Advanced File LogParser,Uncategorized,,,True,0,,77a111ff2dc7e813,1812,68
Advanced_File_TextMerger.ahk,Advanced File TextMerger,Uncategorized,,,True,0,,bf1a3899d6528ebf,1293,49
Advanced_FlowControl_AsyncCallbacks.ahk,Advanced FlowControl AsyncCallbacks,Uncategorized,,,True,0,,7f1cd2369012af9a,5520,215
Advanced_FlowControl_Pipeline.ahk,Advanced FlowControl Pipeline,Uncategorized,,,True,0,,22b6b08a8c5d5b77,8374,314
Advanced_FlowControl_StateMachine.ahk,Advanced FlowControl StateMachine,Uncategorized,,,True,0,,799a5e65adcc1f1d,3901,158
Advanced_GUI_Calculator.ahk,Advanced GUI Calculator,Uncategorized,,,True,0,,88dfba8433f59e14,1620,60
Advanced_GUI_ColorPicker.ahk,Advanced GUI ColorPicker,Uncategorized,,,True,0,,6e8c1efea5e49e02,2484,86
Advanced_GUI_ContextMenu.ahk,Advanced GUI ContextMenu,Uncategorized,,,True,0,,9abc3f6d37e4c248,3115,98
Advanced_GUI_DataGrid.ahk,Advanced GUI DataGrid,Uncategorized,,,True,0,,1afcb5f8cac86785,5208,193
Advanced_GUI_DynamicControls.ahk,Advanced GUI DynamicControls,Uncategorized,,,True,0,,90ed84d97bc75271,4478,182
Advanced_GUI_MultiMonitor.ahk,Advanced GUI MultiMonitor,Uncategorized,,,True,0,,c779111d38e24612,3440,111
Advanced_GUI_ProgressBar.ahk,Advanced GUI ProgressBar,Uncategorized,,,True,0,,9beb48260bad2668,2669,92
Advanced_GUI_SplashScreen.ahk,Advanced GUI SplashScreen,Uncategorized,,,True,0,,0f94ff5b5a51f81d,2340,77
Advanced_GUI_TabControl.ahk,Advanced GUI TabControl,Uncategorized,,,True,0,,a784a40f06c4c158,2867,77
Advanced_GUI_TodoList.ahk,Advanced GUI TodoList,Uncategorized,,,True,0,,946147048bf699b1,2824,110
Advanced_Hotkey_Chords.ahk,Advanced Hotkey Chords,Uncategorized,,,True,0,,4848b67c40d41024,4532,247
Advanced_Hotkey_MediaKeys.ahk,Advanced Hotkey MediaKeys,Uncategorized,,,True,0,,5507fa568237fd60,3449,147
Advanced_Hotkey_MouseGestures.ahk,Advanced Hotkey MouseGestures,Uncategorized,,,True,0,,51f2bbe2774f8d35,4844,197
Advanced_Hotkey_MultiFunction.ahk,Advanced Hotkey MultiFunction,Uncategorized,,,True,0,,972d0362c9c923ab,4972,227
Advanced_Hotkey_Remapping.ahk,Advanced Hotkey Remapping,Uncategorized,,,True,0,,fdd3eee62f9a78a1,1476,65
Advanced_Hotkey_WindowSpecific.ahk,Advanced Hotkey WindowSpecific,Uncategorized,,,True,0,,5bb9d3dc3b1a5faf,3674,206
Advanced_Hotstring_Autocorrect.ahk,Advanced Hotstring Autocorrect,Uncategorized,,,True,0,,ac293ba3c036791e,2929,150
Advanced_Hotstring_SmartQuotes.ahk,Advanced Hotstring SmartQuotes,Uncategorized,,,True,0,,0d38dd8d271ab7e9,3980,342
Advanced_Loop_Generator.ahk,Advanced Loop Generator,Uncategorized,,,True,0,,321a4f89b3751b01,6941,311
Advanced_Loop_Recursive.ahk,Advanced Loop Recursive,Uncategorized,,,True,0,,872001798b157723,6009,249
Advanced_Misc_ClipboardManager.ahk,Advanced Misc ClipboardManager,Uncategorized,,,True,0,,9bed68f6dc879ae9,1423,58
Advanced_Misc_Countdown.ahk,Advanced Misc Countdown,Uncategorized,,,True,0,,b8cdf4717096fb86,1833,71
Advanced_Misc_PasswordGenerator.ahk,Advanced Misc PasswordGenerator,Uncategorized,,,True,0,,c0ca3894ac4ee0c2,2464,87
Advanced_Misc_ScreenshotTool.ahk,Advanced Misc ScreenshotTool,Uncategorized,,,True,0,,58e72b67f6422b50,1116,39
Advanced_Misc_Stopwatch.ahk,Advanced Misc Stopwatch,Uncategorized,,,True,0,,06705f2f23b88f35,1679,69
Advanced_Misc_SystemInfo.ahk,Advanced Misc SystemInfo,Uncategorized,,,True,0,,c107da42b98f96e5,1257,39
Advanced_Misc_UnitConverter.ahk,Advanced Misc UnitConverter,Uncategorized,,,True,0,,63287e37c351f935,3116,107
Advanced_Process_Monitor.ahk,Advanced Process Monitor,Uncategorized,,,True,0,,42d8f8595e7d444c,1317,51
Advanced_Window_AlwaysOnTop.ahk,Advanced Window AlwaysOnTop,Uncategorized,,,True,0,,cdf247494162f238,563,22
Advanced_Window_Arranger.ahk,Advanced Window Arranger,Uncategorized,,,True,0,,419223aaca6fb950,1649,59
Advanced_Window_ClickThrough.ahk,Advanced Window ClickThrough,Uncategorized,,,True,0,,215bb7e916256c45,699,22
Advanced_Window_Minimizer.ahk,Advanced Window Minimizer,Uncategorized,,,True,0,,e5b618675b94161d,1051,52
Advanced_Window_Spy.ahk,Advanced Window Spy,Uncategorized,,,True,0,,a373af7292caa336,1826,66
Array_01_Chunk.ahk,Array 01 Chunk,Uncategorized,,,True,1,adash,47b026dedb503ecc,578,22
Array_02_Compact.ahk,Array 02 Compact,Uncategorized,,,True,1,adash,1b306d44bc200bcc,394,18
Array_03_DepthOf.ahk,Array 03 DepthOf,Uncategorized,,,True,1,adash,0a0b9230c87e5c94,493,27
Array_04_Difference.ahk,Array 04 Difference,Uncategorized,,,True,1,adash,ff11854f107e2913,378,17
Array_05_Drop.ahk,Array 05 Drop,Uncategorized,,,True,1,adash,00742a1000097529,547,27
Array_06_DropRight.ahk,Array 06 DropRight,Uncategorized,,,True,1,adash,fc5182cd5670be0a,584,27
Array_07_Fill.ahk,Array 07 Fill,Uncategorized,,,True,1,adash,36541ae1b975c338,489,22
Array_08_Flatten.ahk,Array 08 Flatten,Uncategorized,,,True,1,adash,25c931cfbed2e542,401,19
Array_09_FlattenDeep.ahk,Array 09 FlattenDeep,Uncategorized,,,True,1,adash,aa39cfe1b7db68aa,509,23
Array_10_FlattenDepth.ahk,Array 10 FlattenDepth,Uncategorized,,,True,1,adash,65f889244f28d30f,434,19
Array_11_FromPairs.ahk,Array 11 FromPairs,Uncategorized,,,True,1,adash,128106f8af3a009e,316,15
Array_12_Head.ahk,Array 12 Head,Uncategorized,,,True,1,adash,b4976e8d76dc4bc2,406,24
Array_13_IndexOf.ahk,Array 13 IndexOf,Uncategorized,,,True,1,adash,179d15dcd164c8a1,467,20
Array_14_Initial.ahk,Array 14 Initial,Uncategorized,,,True,1,adash,8fb7592c621a014d,364,19
Array_15_Intersection.ahk,Array 15 Intersection,Uncategorized,,,True,1,adash,cc807205c82a4eb8,385,17
Array_16_Join.ahk,Array 16 Join,Uncategorized,,,True,1,adash,66a2ebfcc0d8e388,362,19
Array_17_Last.ahk,Array 17 Last,Uncategorized,,,True,1,adash,ee24be08dd957ba8,354,23
Array_18_LastIndexOf.ahk,Array 18 LastIndexOf,Uncategorized,,,True,1,adash,732e0d8c67adab13,398,19
Array_19_Nth.ahk,Array 19 Nth,Uncategorized,,,True,1,adash,e81849133c475c96,426,24
Array_20_Reverse.ahk,Array 20 Reverse,Uncategorized,,,True,1,adash,48adca77dc52f33b,489,20
Array_21_Slice.ahk,Array 21 Slice,Uncategorized,,,True,1,adash,716193520a21db6c,445,23
Array_22_SortedIndex.ahk,Array 22 SortedIndex,Uncategorized,,,True,1,adash,b0a4cdaddf2f33d7,536,24
Array_23_SortedUniq.ahk,Array 23 SortedUniq,Uncategorized,,,True,1,adash,72893d447087ff64,297,15
Array_24_Tail.ahk,Array 24 Tail,Uncategorized,,,True,1,adash,cbf5ca3e0d8ca2f7,351,19
Array_25_Take.ahk,Array 25 Take,Uncategorized,,,True,1,adash,f5d7835e065c9b02,545,27
Array_26_TakeRight.ahk,Array 26 TakeRight,Uncategorized,,,True,1,adash,8e24545df133a220,578,27
Array_27_Union.ahk,Array 27 Union,Uncategorized,,,True,1,adash,6a5133254e49a7a9,286,15
Array_28_Uniq.ahk,Array 28 Uniq,Uncategorized,,,True,1,adash,6adcba4bc3410cc4,397,17
Array_29_Unzip.ahk,Array 29 Unzip,Uncategorized,,,True,1,adash,0881b3d3da0f018c,510,20
Array_30_Without.ahk,Array 30 Without,Uncategorized,,,True,1,adash,290d0947db82b1da,286,15
Array_31_Zip.ahk,Array 31 Zip,Uncategorized,,,True,1,adash,0db1047402b217c4,443,17
Array_32_ZipObject.ahk,Array 32 ZipObject,Uncategorized,,,True,1,adash,d121eeca20438dc7,356,16
Array_Advanced_01_Chunk.ahk,Array Advanced 01 Chunk,Uncategorized,,,True,0,,24e8f37b2810f3a5,1057,47
Array_Advanced_02_Fill.ahk,Array Advanced 02 Fill,Uncategorized,,,True,0,,0a4bc570c3414b73,1054,46
Array_Advanced_03_FlattenDeep.ahk,Array Advanced 03 FlattenDeep,Uncategorized,,,True,0,,8f6590e316a90822,1077,49
Array_Advanced_04_SortedIndex.ahk,Array Advanced 04 SortedIndex,Uncategorized,,,True,0,,6d606a59dbb5a095,1274,51
Array_Advanced_05_Intersection.ahk,Array Advanced 05 Intersection,Uncategorized,,,True,0,,0fee53ec1effa555,1669,77
Array_Advanced_06_Union.ahk,Array Advanced 06 Union,Uncategorized,,,True,0,,d83a88d34891aeed,1039,51
Array_Advanced_07_Zip.ahk,Array Advanced 07 Zip,Uncategorized,,,True,0,,721d46a859032661,1200,49
Array_Advanced_08_Unzip.ahk,Array Advanced 08 Unzip,Uncategorized,,,True,0,,45e2f9bb6e9c02d4,1007,49
Array_Advanced_09_DepthOf.ahk,Array Advanced 09 DepthOf,Uncategorized,,,True,0,,ad5e5583451a4c63,850,43
Array_Advanced_10_Nth.ahk,Array Advanced 10 Nth,Uncategorized,,,True,0,,63fae14e7e1e4acb,1086,48
Array_Advanced_11_FlattenDepth.ahk,Array Advanced 11 FlattenDepth,Uncategorized,,,True,0,,9957eead1dc47105,1310,61
Array_Advanced_12_Without.ahk,Array Advanced 12 Without,Uncategorized,,,True,0,,73cec7f87c47b90f,1010,49
Array_Advanced_13_Difference.ahk,Array Advanced 13 Difference,Uncategorized,,,True,0,,a970f74a06dedfb9,1033,50
