"OldName","NewName","Pattern"
"_Directives_#AllowSameLineComments_ex1.ahk","Directive_#AllowSameLineComments_ex1.ahk","_Directives_ → Directive_"
"_Directives_#CommentFlag_ex1.ahk","Directive_#CommentFlag_ex1.ahk","_Directives_ → Directive_"
"_Directives_#Delimiter_ex1.ahk","Directive_#Delimiter_ex1.ahk","_Directives_ → Directive_"
"_Directives_#Delimiter_ex2.ahk","Directive_#Delimiter_ex2.ahk","_Directives_ → Directive_"
"_Directives_#Delimiter_ex3.ahk","Directive_#Delimiter_ex3.ahk","_Directives_ → Directive_"
"_Directives_#Delimiter_ex5.ahk","Directive_#Delimiter_ex5.ahk","_Directives_ → Directive_"
"_Directives_#EscapeChar_ex1.ahk","Directive_#EscapeChar_ex1.ahk","_Directives_ → Directive_"
"_Directives_#HotkeyInterval_ex1.ahk","Directive_#HotkeyInterval_ex1.ahk","_Directives_ → Directive_"
"_Directives_#HotkeyModifierTimeout_ex1.ahk","Directive_#HotkeyModifierTimeout_ex1.ahk","_Directives_ → Directive_"
"_Directives_#Hotstring_ex1.ahk","Directive_#Hotstring_ex1.ahk","_Directives_ → Directive_"
"_Directives_#If_ex1.ahk","Directive_#If_ex1.ahk","_Directives_ → Directive_"
"_Directives_#If_ex3.ahk","Directive_#If_ex3.ahk","_Directives_ → Directive_"
"_Directives_#InputLevel.ahk","Directive_#InputLevel.ahk","_Directives_ → Directive_"
"_Directives_#NoEnv_ex1.ahk","Directive_#NoEnv_ex1.ahk","_Directives_ → Directive_"
"_Directives_#Warn_ex1.ahk","Directive_#Warn_ex1.ahk","_Directives_ → Directive_"
"_Directives_#WinActivateForce_ex1.ahk","Directive_#WinActivateForce_ex1.ahk","_Directives_ → Directive_"
"_Directives_Directive_Mix.ahk","Directive_Directive_Mix.ahk","_Directives_ → Directive_"
"_Directives_Directive_Mix2.ahk","Directive_Directive_Mix2.ahk","_Directives_ → Directive_"
"_Directives_Requires_ex1.ahk","Directive_Requires_ex1.ahk","_Directives_ → Directive_"
"Failed_conversions_#Delimiter_ex4.ahk","Failed_#Delimiter_ex4.ahk","Failed_conversions_ → Failed_"
"Failed_conversions_GlobalGui_ex1.ahk","Failed_GlobalGui_ex1.ahk","Failed_conversions_ → Failed_"
"Failed_conversions_Menu_ex10.ahk","Failed_Menu_ex10.ahk","Failed_conversions_ → Failed_"
"Failed_conversions_Menu_ex11.ahk","Failed_Menu_ex11.ahk","Failed_conversions_ → Failed_"
"Failed_conversions_MsgBox_ex11.ahk","Failed_MsgBox_ex11.ahk","Failed_conversions_ → Failed_"
"Failed_conversions_Process_ex3.ahk","Failed_Process_ex3.ahk","Failed_conversions_ → Failed_"
"Failed_conversions_StringCaseSense_ex4.ahk","Failed_StringCaseSense_ex4.ahk","Failed_conversions_ → Failed_"
"Failed_conversions_Ternary_ex5.ahk","Failed_Ternary_ex5.ahk","Failed_conversions_ → Failed_"
"Code_Integrity_Accumulated Errors 01.ahk","Integrity_Accumulated Errors 01.ahk","Code_Integrity_ → Integrity_"
"Code_Integrity_blankMissing_output_issue_277.ahk","Integrity_blankMissing_output_issue_277.ahk","Code_Integrity_ → Integrity_"
"Code_Integrity_Class_01_Issue_379.ahk","Integrity_Class_01_Issue_379.ahk","Code_Integrity_ → Integrity_"
"Code_Integrity_Class&Func_Mask_01.ahk","Integrity_Class&Func_Mask_01.ahk","Code_Integrity_ → Integrity_"
