"OldName","NewName","Pattern"
"Process_OnMessage_ex2.ahk","Proc_OnMessage_ex2.ahk","Process_ → Proc_"
"Process_OnMessage_ex4.ahk","Proc_OnMessage_ex4.ahk","Process_ → Proc_"
"Process_OnMessage_ex5.ahk","Proc_OnMessage_ex5.ahk","Process_ → Proc_"
"Process_OnMessage_ex6.ahk","Proc_OnMessage_ex6.ahk","Process_ → Proc_"
"Process_OnMessage_ex7.ahk","Proc_OnMessage_ex7.ahk","Process_ → Proc_"
"Process_OnMessage_ex8.ahk","Proc_OnMessage_ex8.ahk","Process_ → Proc_"
"Process_OnMessage_Issue_136.ahk","Proc_OnMessage_Issue_136.ahk","Process_ → Proc_"
"Process_OnMessage_Issue_384.ahk","Proc_OnMessage_Issue_384.ahk","Process_ → Proc_"
"Process_Process_close.ahk","Proc_Proc_close.ahk","Process_ → Proc_"
"Process_Process_ex1.ahk","Proc_Proc_ex1.ahk","Process_ → Proc_"
"Process_Process_ex2.ahk","Proc_Proc_ex2.ahk","Process_ → Proc_"
"Process_Run_ex1.ahk","Proc_Run_ex1.ahk","Process_ → Proc_"
"Process_Run_ex2.ahk","Proc_Run_ex2.ahk","Process_ → Proc_"
"Process_Run_ex3.ahk","Proc_Run_ex3.ahk","Process_ → Proc_"
"Process_Run_ex5.ahk","Proc_Run_ex5.ahk","Process_ → Proc_"
"Process_Run_ex6.ahk","Proc_Run_ex6.ahk","Process_ → Proc_"
"Process_Run_ex7.ahk","Proc_Run_ex7.ahk","Process_ → Proc_"
"Process_Runas_ex1.ahk","Proc_Runas_ex1.ahk","Process_ → Proc_"
"Process_Shutdown_ex1.ahk","Proc_Shutdown_ex1.ahk","Process_ → Proc_"
"Process_Shutdown_ex2.ahk","Proc_Shutdown_ex2.ahk","Process_ → Proc_"
"Registry_Loop_regestry_ex1.ahk","Reg_Loop_regestry_ex1.ahk","Registry_ → Reg_"
"Registry_RegDelete_ex1_2.ahk","Reg_RegDelete_ex1_2.ahk","Registry_ → Reg_"
"Registry_RegDelete_ex1.ahk","Reg_RegDelete_ex1.ahk","Registry_ → Reg_"
